job1_id,job2_id,similarity,job1_title,job2_title,job1_department,job2_department,is_same_department
R0002_55043311,R0002_55036002,1.0,Administration Support,Administration Support,Admin & Support,ADV Customer Care 3,False
R0043_55032756,R0043_55032632,1.0,Wealth Remediation,Wealth Remediation,ASF AP Program,CRI Calcs Team - Jane,False
R0043_55032756,R0043_55032862,1.0,Wealth Remediation,Wealth Remediation,ASF AP Program,JBW CRI Remediation Methodology,False
R0043_55039679,R0043_55032756,1.0,Wealth Remediation,Wealth Remediation,JBW CRI Assessment,ASF AP Program,False
R0043_55032756,R0043_55039679,1.0,Wealth Remediation,Wealth Remediation,ASF AP Program,JBW CRI Assessment,False
R0043_55034882,R0043_55032756,1.0,Wealth Remediation,Wealth Remediation,JBW ASF Assessment,ASF AP Program,False
R0043_55032756,R0043_55034882,1.0,Wealth Remediation,Wealth Remediation,ASF AP Program,JBW ASF Assessment,False
R0043_55029012,R0043_55032756,1.0,Wealth Remediation,Wealth Remediation,CRI Remediation Data,ASF AP Program,False
R0043_55032756,R0043_55029012,1.0,Wealth Remediation,Wealth Remediation,ASF AP Program,CRI Remediation Data,False
R0043_55041926,R0043_55032756,1.0,Wealth Remediation,Wealth Remediation,CRI Remediation,ASF AP Program,False
R0043_55032756,R0043_55041926,1.0,Wealth Remediation,Wealth Remediation,ASF AP Program,CRI Remediation,False
R0043_55021537,R0043_55032756,1.0,Wealth Remediation,Wealth Remediation,CRI Calcs Team - Kate,ASF AP Program,False
R0043_55032756,R0043_55021537,1.0,Wealth Remediation,Wealth Remediation,ASF AP Program,CRI Calcs Team - Kate,False
R0043_55032632,R0043_55032756,1.0,Wealth Remediation,Wealth Remediation,CRI Calcs Team - Jane,ASF AP Program,False
R0043_55039684,R0043_55032756,1.0,Wealth Remediation,Wealth Remediation,CRI Assessment Team 4,ASF AP Program,False
R0043_55032862,R0043_55035478,1.0,Wealth Remediation,Wealth Remediation,JBW CRI Remediation Methodology,Adviser Scoping and Book Closure,False
R0043_55032756,R0043_55039684,1.0,Wealth Remediation,Wealth Remediation,ASF AP Program,CRI Assessment Team 4,False
R0043_55039683,R0043_55032756,1.0,Wealth Remediation,Wealth Remediation,CRI Assessment Team 3,ASF AP Program,False
R0043_55032756,R0043_55039683,1.0,Wealth Remediation,Wealth Remediation,ASF AP Program,CRI Assessment Team 3,False
R0043_55039682,R0043_55032756,1.0,Wealth Remediation,Wealth Remediation,CRI Assessment Team 2,ASF AP Program,False
R0043_55032756,R0043_55039682,1.0,Wealth Remediation,Wealth Remediation,ASF AP Program,CRI Assessment Team 2,False
R0043_55039681,R0043_55032756,1.0,Wealth Remediation,Wealth Remediation,CRI Assessment Team 1,ASF AP Program,False
R0043_55032756,R0043_55039681,1.0,Wealth Remediation,Wealth Remediation,ASF AP Program,CRI Assessment Team 1,False
R0043_55032758,R0043_55032756,1.0,Wealth Remediation,Wealth Remediation,Complex Executions,ASF AP Program,False
R0043_55032756,R0043_55032758,1.0,Wealth Remediation,Wealth Remediation,ASF AP Program,Complex Executions,False
R0043_55035181,R0043_55032756,1.0,Wealth Remediation,Wealth Remediation,Competency,ASF AP Program,False
R0043_55032756,R0043_55035181,1.0,Wealth Remediation,Wealth Remediation,ASF AP Program,Competency,False
R0043_55036209,R0043_55032756,1.0,Wealth Remediation,Wealth Remediation,Client Restoration,ASF AP Program,False
R0043_55032862,R0043_55032756,1.0,Wealth Remediation,Wealth Remediation,JBW CRI Remediation Methodology,ASF AP Program,False
R0043_55032756,R0043_55032759,1.0,Wealth Remediation,Wealth Remediation,ASF AP Program,JBW Remediation ASF,False
R0043_55032759,R0043_55032756,1.0,Wealth Remediation,Wealth Remediation,JBW Remediation ASF,ASF AP Program,False
R0043_55032756,R0043_55037980,1.0,Wealth Remediation,Wealth Remediation,ASF AP Program,JBW Remediation Assurance,False
R0043_55031288,R0043_55032756,1.0,Wealth Remediation,Wealth Remediation,Quality Assurance Case Assessment,ASF AP Program,False
R0043_55032756,R0043_55031288,1.0,Wealth Remediation,Wealth Remediation,ASF AP Program,Quality Assurance Case Assessment,False
R0043_55029506,R0043_55032756,1.0,Wealth Remediation,Wealth Remediation,"Planning, Governance and Capability",ASF AP Program,False
R0043_55032756,R0043_55029506,1.0,Wealth Remediation,Wealth Remediation,ASF AP Program,"Planning, Governance and Capability",False
R0043_55032860,R0043_55032756,1.0,Wealth Remediation,Wealth Remediation,Operational Excellence,ASF AP Program,False
R0043_55032756,R0043_55032860,1.0,Wealth Remediation,Wealth Remediation,ASF AP Program,Operational Excellence,False
