JobID,Skill_ID
R0002,BGS2E1275F3C96CC1BA8
R0002,BGSD16A8EEF4F5775E15
R0002,ES20CECA4FF83ECE8196
R0002,ES21E5D7885B46FE1773
R0002,ES2F712D74818EF2888E
R0002,ES42391121D6FF9F1DCE
R0002,ES42E5D7967FCC7EDD0D
R0002,ES439D5D4E1DA572EFB8
R0002,ES465F92F433C4A44E49
R0002,ES4E55E2CC427CF883C3
R0002,ES84498FF691EC3C49EA
R0002,ES886154C56DD7EB0AFF
R0002,ESA57D1ACED4A47FE3C5
R0002,ESA682891AA67BF20A41
R0002,ESB38820A543FA4E3969
R0002,ESDDF4C4C9154A09CE3D
R0002,ESE7CF2084EE07193255
R0002,ESEF6CBFE27C71B28816
R0002,KS1218B5WWXNDNQTN9MP
R0002,KS1218B62M9QRBY8WRSK
R0002,KS1218C6C8TX2Y1KRN37
R0002,KS1218P66BGK5X5JGKLF
R0002,KS1218Q6PZLSBQJZ6QQD
R0002,KS121J06HRH9BLX7WN4L
R0002,KS121T569X502KJPS0F3
R0002,KS122556LMQ829GZCCRV
R0002,KS12258757JQRQK8X5M9
R0002,KS122C06Z8NDM5G6NYNT
R0002,KS122LM693MC8BM7T1PM
R0002,KS123HL75PX38KTJXYKJ
R0002,KS123HV5WHQXDMXZ667K
R0002,KS125F678LV2KB3Z5XW0
R0002,KS1267F6MSPN366LX7ST
R0002,KS126J56WCCHH73VTCV7
R0002,KS127726HRBBP0F2LTDG
R0002,KS1281S6BMZ3DCN1G8M7
R0002,KS13USA80NE38XJHA2TL
R0002,KS4407565LF7NGXMDBVF
R0002,KS44086772RVPJQ1SVW6
R0002,KS440XG653B0ZK3926JF
R0002,KS440XG6F9DTD3VG7JTV
R0002,KS440ZZ6HM0NG5586DTZ
R0002,KS4418371TN1X41T1P3G
R0002,KS4418462TTGKL3CWJHT
R0002,KS441K2756CXYXBG990G
R0002,KS681KH79MJLQDPB9T88
R0002,KS7G6XB661ZQZM7SXS11
R0002,KS7G747655VG23WXMS9B
R0002,KSCQ0SWSSG568HKQ1YNL
R0043,BGS1E4A87797AB89913D
R0043,BGSD16A8EEF4F5775E15
R0043,BGSDB896C54282D080F0
R0043,ES20CECA4FF83ECE8196
R0043,ES2293CD01E12A395E9F
R0043,ES35E1868227746D6964
R0043,ES42E5D7967FCC7EDD0D
R0043,ES439D5D4E1DA572EFB8
R0043,ES465F92F433C4A44E49
R0043,ES4C049EE2BE3978642B
R0043,ES632E56DCF4C4CB49E7
R0043,ES6D509E2EEF4C312414
R0043,ES6F18D23E298C93C6B9
R0043,ES813645D5555C9C0A33
R0043,ES886154C56DD7EB0AFF
R0043,ES8CF1DC51EE296520FF
R0043,ESB8890D0DE54840C465
R0043,ESEF6CBFE27C71B28816
R0043,KS120SR6WD1FP76Z6GC2
R0043,KS1217P66NK6BW72M9FH
R0043,KS121J06HRH9BLX7WN4L
R0043,KS121T569X502KJPS0F3
R0043,KS121Z26S4VJLQ1WXN21
R0043,KS1226L6XYT1N27WRYJM
R0043,KS1228S6XKXWJ8SR7JYX
R0043,KS1228S6YKWXMH4M4DL7
R0043,KS122B06FRJSHG3ZF56F
R0043,KS122B568MKWX1K9STGP
R0043,KS122C06Z8NDM5G6NYNT
R0043,KS122HX6VJG0Y8Z80TVK
R0043,KS122LM693MC8BM7T1PM
R0043,KS122LP5Z969YKTZ5R6C
R0043,KS122LQ78XTWK60SXCXK
R0043,KS122LZ65M6D6TNYLP9Q
R0043,KS122LZ73LBCYNVBL9N7
R0043,KS122LZ77D11ZM54LL1J
R0043,KS122SD6JMKLG1YX74L9
R0043,KS122SD6RW155J0DSWKD
R0043,KS122SD6ZVPNR6784KNN
R0043,KS122Y76S4V5THTH0XW5
R0043,KS123HL75PX38KTJXYKJ
R0043,KS123HV5WHQXDMXZ667K
R0043,KS123Y46K09SW35ZRDVN
R0043,KS125ZB6BWF5RY40BH1B
R0043,KS1281C73FXGDNDDGLHC
R0043,KS128HF6HV6ZFR1RR2GC
R0043,KS4403L6TBV131KKFLFW
R0043,KS4403M6G36JQNJ4BT9Z
R0043,KS4403M719YNXLXBSCH9
R0043,KS4403N73QRL1Q990QFC
R0043,KS4407565LF7NGXMDBVF
R0043,KS440HC69SXL74ML9T2Y
R0043,KS440HM5WWGCML4WSC4Z
R0043,KS440HM6XR7MS794Q5J0
R0043,KS440PR622FNZ57L7W18
R0043,KS440PR6KJR914SR22ZC
R0043,KS440XG653B0ZK3926JF
R0043,KS440ZZ6HM0NG5586DTZ
R0043,KS4418371TN1X41T1P3G
R0043,KS4418462TTGKL3CWJHT
R0043,KS4418Q6SN91ZR2LTQJ0
R0043,KS4418R70629H5L603FB
R0043,KS441ZR6YKNJST7JG4CH
R0043,KS7G6XB661ZQZM7SXS11
R0043,KSCQ0SWSSG568HKQ1YNL
R0043,KSDMUMHE63DLB9OKKW37
R0055,BGS1E4A87797AB89913D
R0055,BGS5232CE75C82EF97D3
R0055,BGSBC6553CCF3F292F02
R0055,BGSC08A466157281C2AE
R0055,BGSC78CDBF5ACB529723
R0055,BGSD16A8EEF4F5775E15
R0055,ES20CECA4FF83ECE8196
R0055,ES3559862F4AC771D8D3
R0055,ES411B83E96EB4FCD851
R0055,ES42E5D7967FCC7EDD0D
R0055,ES439D5D4E1DA572EFB8
R0055,ES4490C922F8F5F308E0
R0055,ES465F92F433C4A44E49
R0055,ES47490A37A5BAFC9848
R0055,ES4C049EE2BE3978642B
R0055,ES886154C56DD7EB0AFF
R0055,ES96EA50918BAFBA3EE8
R0055,ES9E070CF7DFD323E9D9
R0055,ESA1C87C5D8FB7E7A1D3
R0055,ESAD4C46ECC9F12851B0
R0055,ESB51DB11352457B5945
R0055,ESD4CBD300D1794F3DD8
R0055,ESED90D9CF0E0C9F8D28
R0055,ESEF6CBFE27C71B28816
R0055,ESF51AF2C6480BE66AB0
R0055,KS1217P66NK6BW72M9FH
R0055,KS1218B5WWXNDNQTN9MP
R0055,KS1218C69LM6XYNXWKC1
R0055,KS1218C6C8TX2Y1KRN37
R0055,KS1219261TYVPMGX8KVQ
R0055,KS1219462WRQNHNTPZ7G
R0055,KS121996C1P31W0YZVNF
R0055,KS121J06HRH9BLX7WN4L
R0055,KS121T569X502KJPS0F3
R0055,KS122556LMQ829GZCCRV
R0055,KS122C06Z8NDM5G6NYNT
R0055,KS122LM693MC8BM7T1PM
R0055,KS122LQ78XTWK60SXCXK
R0055,KS122LY6TT54ND7Z1YZP
R0055,KS122LZ773L5MZ56S322
R0055,KS1239X61NPB4N0QQ678
R0055,KS1239X6C7VDW4GCKCLK
R0055,KS1239Y6FNL0GN8819NP
R0055,KS123B4626ZLDK1RGM0L
R0055,KS123B66PX5C7HFKQZD7
R0055,KS123HL75PX38KTJXYKJ
R0055,KS123HV5WHQXDMXZ667K
R0055,KS123Y86V2WGML5T0P44
R0055,KS125F678LV2KB3Z5XW0
R0055,KS125ZB6BWF5RY40BH1B
R0055,KS1264Z76VQV2ZW2MB02
R0055,KS126586T93K5D3X0TY0
R0055,KS1265D6RGJL2Y4J6V5B
R0055,KS1265F6HQJ2KFBS4F95
R0055,KS126FN71XVM1PW06M54
R0055,KS128996BVSZ4FJ8VTWY
R0055,KS1289J6GL6C3ZS1437F
R0055,KS4400X6ZTF2HFNS3WP1
R0055,KS4407565LF7NGXMDBVF
R0055,KS440XG653B0ZK3926JF
R0055,KS440ZZ6HM0NG5586DTZ
R0055,KS4418371TN1X41T1P3G
R0055,KS4418462TTGKL3CWJHT
R0055,KS4418877WW06JL2XBNJ
R0055,KS7G6XB661ZQZM7SXS11
R0055,KSCQ0SWSSG568HKQ1YNL
R0055,KSG96S4BWNMTWBMXZ71N
R0055,KST71ITFIZYDOGER5ST6
R0204,BGS1E4A87797AB89913D
R0204,BGS5519CEC3E01E35AF9
R0204,BGSA09D67D5649D8559E
R0204,BGSD16A8EEF4F5775E15
R0204,ES20CECA4FF83ECE8196
R0204,ES21E5D7885B46FE1773
R0204,ES3721619D6CD61E7756
R0204,ES42E5D7967FCC7EDD0D
R0204,ES439D5D4E1DA572EFB8
R0204,ES465F92F433C4A44E49
R0204,ES4E55E2CC427CF883C3
R0204,ES6D509E2EEF4C312414
R0204,ES886154C56DD7EB0AFF
R0204,ES9019BAAEC503B2704B
R0204,ESD813FCB9E1BC689AD0
R0204,ESDB01C44052BCE02798
R0204,ESDDF4C4C9154A09CE3D
R0204,ESEF6CBFE27C71B28816
R0204,KS120SR6WD1FP76Z6GC2
R0204,KS1218B5WWXNDNQTN9MP
R0204,KS1218C69LM6XYNXWKC1
R0204,KS1218C6C8TX2Y1KRN37
R0204,KS1219462WRQNHNTPZ7G
R0204,KS121J06HRH9BLX7WN4L
R0204,KS121T569X502KJPS0F3
R0204,KS122556LMQ829GZCCRV
R0204,KS122C06Z8NDM5G6NYNT
R0204,KS122LM693MC8BM7T1PM
R0204,KS123HL75PX38KTJXYKJ
R0204,KS123HV5WHQXDMXZ667K
R0204,KS124TM6DZQ2JCVJSX7F
R0204,KS1258473YH2PSFC8S7H
R0204,KS125ZB6BWF5RY40BH1B
R0204,KS1277F6C7QNT6S8QB0N
R0204,KS127FQ6L0G5SBYPYZ26
R0204,KS128HF6HV6ZFR1RR2GC
R0204,KS4403H60RHC7598V94K
R0204,KS4403M6G36JQNJ4BT9Z
R0204,KS4403M6XZZVXT7WQBGF
R0204,KS4403P68Z3K0R3WZW84
R0204,KS4407565LF7NGXMDBVF
R0204,KS440HC69SXL74ML9T2Y
R0204,KS440XG5WRR29YLPC602
R0204,KS440XG653B0ZK3926JF
R0204,KS440ZY6GKB1KW3HR5FS
R0204,KS440ZZ6HM0NG5586DTZ
R0204,KS4415G76TWBGB4J9BHQ
R0204,KS4415S6Q3Q6JPVT2P33
R0204,KS4415X69VP3BF9HJ9DN
R0204,KS4418371TN1X41T1P3G
R0204,KS4418462TTGKL3CWJHT
R0204,KS7G6XB661ZQZM7SXS11
R0204,KSCQ0SWSSG568HKQ1YNL
R0204,KSVV7L26JZNZ4SX5QH95
R0207,BGS1E4A87797AB89913D
R0207,BGSD16A8EEF4F5775E15
R0207,ES1F5A6344D37AF2F01B
R0207,ES20CECA4FF83ECE8196
R0207,ES2D2CA3BC2F2587FAAC
R0207,ES31EB08E14C5E93F4E8
R0207,ES39E5C01E1593CE9E72
R0207,ES40D94A0B46F04754FC
R0207,ES42E5D7967FCC7EDD0D
R0207,ES439D5D4E1DA572EFB8
R0207,ES465F92F433C4A44E49
R0207,ES604F3CA3845047D040
R0207,ES71C18378814E6740D6
R0207,ES813645D5555C9C0A33
R0207,ES886154C56DD7EB0AFF
R0207,ES8B8C52EA70D3BD184E
R0207,ES8C087D7EE8B81DA9C0
R0207,ESB6392788DB7D7DE92B
R0207,ESBFE8BD405046C280C4
R0207,ESE1B02D97CE832EFD1F
R0207,ESE6F0148C7A499C5987
R0207,ESEF6CBFE27C71B28816
R0207,KS120B874P2P6BK1MQ0T
R0207,KS120B877X78XJ03K8VX
R0207,KS120B96BV0RVFP988G4
R0207,KS120GV6C72JMSZKMTD7
R0207,KS120WT63K4HC6NX7QXV
R0207,KS1217P66NK6BW72M9FH
R0207,KS1219462WRQNHNTPZ7G
R0207,KS121J06HRH9BLX7WN4L
R0207,KS121T569X502KJPS0F3
R0207,KS122C06Z8NDM5G6NYNT
R0207,KS122LM693MC8BM7T1PM
R0207,KS122LP5Z969YKTZ5R6C
R0207,KS122LZ65M6D6TNYLP9Q
R0207,KS123CQ6YWBJJH0NDXJK
R0207,KS123HL75PX38KTJXYKJ
R0207,KS123HV5WHQXDMXZ667K
R0207,KS123YF66G4KR0SSVY8R
R0207,KS124TG6C6GQ3RGYBJ3G
R0207,KS124VG5ZPWV1NP97J6H
R0207,KS124VL6RVRF0BZ2B1Y1
R0207,KS124VL76F1D07MLLMVL
R0207,KS1258473YH2PSFC8S7H
R0207,KS125F678LV2KB3Z5XW0
R0207,KS127ML679N3X779PMBH
R0207,KS1281S6BMZ3DCN1G8M7
R0207,KS1281V75M07F0WYZVZZ
R0207,KS4403M6G36JQNJ4BT9Z
R0207,KS4407565LF7NGXMDBVF
R0207,KS440XG653B0ZK3926JF
R0207,KS440XG6F9DTD3VG7JTV
R0207,KS440ZT7088TCC7ZLSMN
R0207,KS440ZZ6HJGY92HPTWCV
R0207,KS440ZZ6HM0NG5586DTZ
